,predction_0,predction_1,predction_2,predction_3,predction_4,predction_5,predction_6,predction_7,predction_8,predction_9
0,CC(=O)c1ccc2[nH]ccc2c1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1001][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18],CC(C)(C)OC(=O)[O:1002][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18]
1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Cc1ccc(S(=O)(=O)O[C@@H]2CN[C@H]3[C@@H]2OC[C@@H]3O)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(O)[C@H]3[C@@H]2OC[C@@H]3O)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,Cc1ccc(S(=O)(=O)O[C@@H]2CN(OS(C)(=O)=O)[C@H]3[C@@H]2OC[C@@H]3O)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,Cc1ccc(S(=O)(=O)O[C@@H]2CN(F)[C@H]3[C@@H]2OC[C@@H]3O)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Cc1ccc(S(=O)(=O)O[C@@H]2CN(I)[C@H]3[C@@H]2OC[C@@H]3O)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(Cl)[C@H]3[C@@H]2OC[C@@H]3O)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Cc1ccc(S(=O)(=O)O[C@@H]2C[N+](=O)[C@H]3[C@@H]2OC[C@@H]3O)cc1,CC(=O)N1C[C@@H](OS(=O)(=O)c2ccc(C)cc2)[C@H]2OC[C@H](O)[C@H]21.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,Cc1ccc(S(=O)(=O)O[C@@H]2C[N+4](=O)(=O)(Cl)[C@H]3[C@@H]2OC[C@@H]3O)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Cc1ccc(S(=O)(=O)O[C@@H]2CN(Br)[C@H]3[C@@H]2OC[C@@H]3O)cc1
2,O=C1CCC(=O)N1Br.CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CO.BrC(Br)(Br)Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CCl.BrC(Br)(Br)Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CF.BrC(Br)(Br)Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CCl.O=C1CCC(=O)N1Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C.Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CBr.O=C1CCC(=O)N1Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CBr.BrC(Br)(Br)Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CF.Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1COS(C)(=O)=O.Br
3,N#Cc1cc(-c2cccc([N+](=O)[O-])c2)c2nc(N)sc2c1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)O.N#Cc1cc(-c2cccc([N+](=O)[O-])c2)c2nc(NC(=O)O)sc2c1,CC(C)(C)OCNc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1.O,COC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1.CC(C)(C)O,CC(C)(C)OCNc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1.OO,N#Cc1cc(-c2cccc([N+](=O)[O-])c2)c2nc(NC=O)sc2c1.CC(C)(C)O,CI.CC(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1,CI.CC(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1,CI.CC(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1,CCOC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C#N)cc2s1.CC(C)(C)O
4,NCc1ccccc1S(=O)(=O)C1CC1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.CCOC(=O)C(F)(F)F,COC(=O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,O=[C+](=O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,NCc1ccccc1S(=O)(=O)C1CC1.CC(C)(C)OC(=O)C(=O)C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.CC(C)(C)OC(=O)C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.O=C(OCc1ccccc1)C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.O=C(O)C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.CCOC(=O)OC(=O)C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.O=CC(F)(F)F
5,C/C=C/C(=O)O[Si](C)(C)C.O=C1CCC(=O)N1Br,C/C=C/C(=O)O[Si](C)(C)C.BrC(Br)(Br)Br,BrC(Br)(Br)Br.C[Si](C)(C)OC(=O)/C=C/CO,C/C=C/C(=O)O[Si](C)(C)C.Br,OBr.C/C=C/C(=O)O[Si](C)(C)C,BrI.C/C=C/C(=O)O[Si](C)(C)C,[CH3:1][Si:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[CH3:10],C/C=C/C(=O)O[Si](C)(C)C.BrBr,C/C=C/C(=O)O[Si](C)(C)C.O=C(OBr)c1cccc(Cl)c1,BrC(Br)(Br)Br.C[Si](C)(C)OC(=O)/C=C/CBr
6,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.O=C(OO)c1cccc(Cl)c1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.OO,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.CC(=O)OO,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.OCl,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.OI,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.O=O,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.O=S([O-])OO,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.O,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.CS(=O)(=O)OO,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.[O-]O
7,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=Cc1c[nH]cn1,CN(C)C=O.CC(C)(C)OC(=O)n1ccnc1,CC(C)(C)OC(=O)n1cnc(Br)c1.CN(C)C=O,CC(C)(C)OC(=O)n1cnc(OS(C)(=O)=O)c1.C=O,CC(C)(C)OC(=O)n1cnc(F)c1.C=O,CC(C)(C)OC(=O)n1cnc(Cl)c1.CN(C)C=O,CC(C)(C)OC(=O)n1cnc(O)c1.C=O,CC(C)(C)OC(=O)n1cnc(I)c1.CN(C)C=O,C=O.CC(C)(C)OC(=O)n1cnc(B(O)O)c1,CN(C)C=O.CC(C)(C)OC(=O)n1cnc(C(=O)c2ccccc2)c1
8,O=C1CCC(=O)N1Br.Cc1cnc(Cl)cc1Cl,OCc1cnc(Cl)cc1Cl.BrC(Br)(Br)Br,BrC(Br)(Br)Br.ClCc1cnc(Cl)cc1Cl,FCc1cnc(Cl)cc1Cl.BrC(Br)(Br)Br,O=C1CCC(=O)N1Br.ClCc1cnc(Cl)cc1Cl,O=C1CCC(=O)N1Br.Clc1cc(Cl)c(CBr)cn1,BrC(Br)(Br)Br.Clc1cc(Cl)c(CBr)cn1,Cc1cnc(Cl)cc1Cl.Br,FCc1cnc(Cl)cc1Cl.Br,O=Cc1cnc(Cl)cc1Cl.O=C1CCC(=O)N1Br
9,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1
