,predction_0,predction_1,predction_2,predction_3,predction_4,predction_5,predction_6,predction_7,predction_8,predction_9
0,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC(=O)c1ccc2[nH]ccc2c1,CC(=O)Cl.CC(C)(C)OC(=O)n1ccc2ccccc21,CON(C)C(=O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1.C[Mg+],CC(=O)OC(C)=O.CC(C)(C)OC(=O)n1ccc2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21.CC(=O)Cl,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21.CON(C)C(C)=O,CC(O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,CC(O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,CC(O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1,CC(O)c1ccc2c(ccn2C(=O)OC(C)(C)C)c1
1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)O[C@@H]2CN(C(=O)OC(C)(C)C)[C@H]3[C@@H]2OC[C@@H]3OC(=O)c2ccccc2)cc1
2,O=C1CCC(=O)N1Br.CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CO.BrC(Br)(Br)Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C.Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C.BrI,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C.OBr,O=C1CCC(=O)N1Br.CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CBr,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C.BrC(Br)(Br)Br,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1CBr.BrC(Br)(Br)Br,BrBr.CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C,O=C(OBr)c1cccc(Cl)c1.CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C
3,CC(C)(C)OC(=O)Nc1nc2c(I)cc(C#N)cc2s1.O=[N+]([O-])c1cccc(B(O)O)c1,CC(C)(C)OC(=O)Nc1nc2c(Br)cc(C#N)cc2s1.O=[N+]([O-])c1cccc(B(O)O)c1,CC(C)(C)OC(=O)Nc1nc2c(I)cc(C#N)cc2s1.CC1(C)OB(c2cccc([N+](=O)[O-])c2)OC1(C)C,CC(C)(C)OC(=O)Nc1nc2c(I)cc(C#N)cc2s1.O=[N+]([O-])c1cccc(Br)c1,CC(C)(C)OC(=O)Nc1nc2c(Br)cc(C#N)cc2s1.CC1(C)OB(c2cccc([N+](=O)[O-])c2)OC1(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N#Cc1cc(-c2cccc([N+](=O)[O-])c2)c2nc(N)sc2c1,CC(C)(C)OC(=O)Nc1nc2c(I)cc(C#N)cc2s1.CCCC[Sn](CCCC)(CCCC)c1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)Nc1nc2c(Br)cc(C#N)cc2s1.CCCC[Sn](CCCC)(CCCC)c1cccc([N+](=O)[O-])c1,CC(C)(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(Br)cc2s1.C#N,N#Cc1cc(-c2cccc([N+](=O)[O-])c2)c2nc(Br)sc2c1.CC(C)(C)OC(N)=O
4,O=C(OC(=O)C(F)(F)F)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,CCOC(=O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,O=C(O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,O=C(Cl)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,CC(=O)OC(=O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,O=C(B(O)O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,CC(=O)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,O=C(F)C(F)(F)F.NCc1ccccc1S(=O)(=O)C1CC1,NCc1ccccc1S(=O)(=O)C1CC1.O=C([O-])C(F)(F)F,NCc1ccccc1S(=O)(=O)C1CC1.COC(=O)C(F)(F)F
5,C/C=C/C(=O)O[Si](C)(C)C.O=C1CCC(=O)N1Br,O=CCBr.CC(=O)O[Si](C)(C)C,C/C=C/C(=O)O[Si](C)(C)C.Br,C=CC(=O)O[Si](C)(C)C.BrCBr,C[Si](C)(C)OC(=O)/C=C/CBr.O=C1CCC(=O)N1Br,C/C=C/C(=O)O[Si](C)(C)C.OBr,C/C=C/C(=O)O[Si](C)(C)C.BrI,C[Si](C)(C)OC(=O)/C=C/CBr.BrC(Br)(Br)Br,C/C=C/C(=O)O[Si](C)(C)C.BrC(Br)(Br)Br,C[Si](C)(C)OC(=O)/C=C/CO.BrC(Br)(Br)Br
6,O=C(OO)c1cccc(Cl)c1.CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Br)cc3c2C1.O=S(Cl)c1ccccc1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cccc3c2C1.O=S(Cl)c1ccccc1,OO.CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(I)cc3c2C1.O=S(Cl)c1ccccc1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cccc3c2C1.O=S(O)c1ccccc1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Br)cc3c2C1.O=[SH]c1ccccc1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(I)cc3c2C1.O=[SH]c1ccccc1,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(S(=O)O)cc3c2C1.c1ccccc1,O=S(c1ccccc1)c1cc(Cl)c2oc3c(c2c1)CNCC3.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C
7,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=Cc1c[nH]cn1,CC(C)(C)OC(=O)n1ccnc1.CN(C)C=O,CC(C)(C)OC(=O)n1cnc(Br)c1.CN(C)C=O,CC(C)(C)OC(=O)n1cnc(CO)c1,CC(C)(C)OC(=O)n1cnc(CO)c1,CC(C)(C)OC(=O)n1cnc(CO)c1,CC(C)(C)OC(=O)n1cnc(CO)c1,CC(C)(C)OC(=O)n1cnc(CO)c1,CC(C)(C)OC(=O)n1cnc(CO)c1,CC(C)(C)OC(=O)n1cnc(CO)c1
8,O=C1CCC(=O)N1Br.Cc1cnc(Cl)cc1Cl,OCc1cnc(Cl)cc1Cl.BrC(Br)(Br)Br,Br.Cc1cnc(Cl)cc1Cl,O=C1CCC(=O)N1Br.ClCc1cnc(Cl)cc1Cl,BrC(Br)(Br)Br.Cc1cnc(Cl)cc1Cl,BrC(Br)(Br)Br.ClCc1cnc(Cl)cc1Cl,O=C1CCC(=O)N1CBr.Clc1ccnc(Cl)c1,Clc1cc(Cl)c(CBr)cn1,Clc1cc(Cl)c(CBr)cn1,Clc1cc(Cl)c(CBr)cn1
9,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1
